"player","ecr","ecrwk","fpts","fptswk","rank","rankwk"
"Jake Elliott",21,"ecr_11",5,"fpts_11",17,"rank_11"
"Joey Slye",5,"ecr_11",3,"fpts_11",21,"rank_11"
"Justin Tucker",2,"ecr_11",12,"fpts_11",3,"rank_11"
"Ka'imi Fairbairn",12,"ecr_11",1,"fpts_11",26,"rank_11"
"Matt Gay",10,"ecr_11",7,"fpts_11",11,"rank_11"
"Matt Prater",14,"ecr_11",3,"fpts_11",20,"rank_11"
"Michael Badgley",9,"ecr_11",10,"fpts_11",6,"rank_11"
"Nick Folk",13,"ecr_11",9,"fpts_11",7,"rank_11"
"Stephen Hauschka",11,"ecr_11",15,"fpts_11",1,"rank_11"
"Wil Lutz",1,"ecr_11",11,"fpts_11",4,"rank_11"
"Zane Gonzalez",15,"ecr_11",9,"fpts_11",9,"rank_11"
"Austin Seibert",7,"ecr_12",12,"fpts_12",3,"rank_12"
"Brett Maher",19,"ecr_12",10,"fpts_12",8,"rank_12"
"Chris Boswell",13,"ecr_12",11,"fpts_12",6,"rank_12"
"Daniel Carlson",11,"ecr_12",4,"fpts_12",24,"rank_12"
"Eddy Pineiro",22,"ecr_12",7,"fpts_12",16,"rank_12"
"Greg Zuerlein",8,"ecr_12",7,"fpts_12",17,"rank_12"
"Jake Elliott",14,"ecr_12",3,"fpts_12",26,"rank_12"
"Jason Myers",10,"ecr_12",5,"fpts_12",21,"rank_12"
"Joey Slye",15,"ecr_12",10,"fpts_12",9,"rank_12"
"Josh Lambo",16,"ecr_12",9,"fpts_12",13,"rank_12"
"Justin Tucker",2,"ecr_12",9,"fpts_12",12,"rank_12"
"Ka'imi Fairbairn",5,"ecr_12",8,"fpts_12",14,"rank_12"
"Mason Crosby",18,"ecr_12",0,"fpts_12",50,"rank_12"
"Matt Gay",4,"ecr_12",5,"fpts_12",20,"rank_12"
"Matt Prater",9,"ecr_12",11,"fpts_12",7,"rank_12"
"Nick Folk",6,"ecr_12",9,"fpts_12",11,"rank_12"
"Ryan Succop",20,"ecr_12",6,"fpts_12",19,"rank_12"
"Stephen Hauschka",12,"ecr_12",8,"fpts_12",15,"rank_12"
"Wil Lutz",1,"ecr_12",11,"fpts_12",5,"rank_12"
"Younghoe Koo",3,"ecr_12",11,"fpts_12",4,"rank_12"
"Austin Seibert",18,"ecr_13",7,"fpts_13",21,"rank_13"
"Brett Maher",8,"ecr_13",1,"fpts_13",32,"rank_13"
"Chris Boswell",24,"ecr_13",8,"fpts_13",14,"rank_13"
"Dan Bailey",15,"ecr_13",7,"fpts_13",20,"rank_13"
"Daniel Carlson",19,"ecr_13",3,"fpts_13",29,"rank_13"
"Eddy Pineiro",22,"ecr_13",6,"fpts_13",23,"rank_13"
"Greg Zuerlein",4,"ecr_13",10,"fpts_13",8,"rank_13"
"Harrison Butker",1,"ecr_13",10,"fpts_13",7,"rank_13"
"Jake Elliott",5,"ecr_13",13,"fpts_13",4,"rank_13"
"Jason Myers",13,"ecr_13",13,"fpts_13",5,"rank_13"
"Joey Slye",12,"ecr_13",3,"fpts_13",30,"rank_13"
"Justin Tucker",3,"ecr_13",9,"fpts_13",10,"rank_13"
"Ka'imi Fairbairn",16,"ecr_13",4,"fpts_13",27,"rank_13"
"Mason Crosby",6,"ecr_13",8,"fpts_13",16,"rank_13"
"Matt Gay",9,"ecr_13",8,"fpts_13",13,"rank_13"
"Matt Prater",17,"ecr_13",8,"fpts_13",18,"rank_13"
"Michael Badgley",10,"ecr_13",9,"fpts_13",12,"rank_13"
"Stephen Hauschka",21,"ecr_13",9,"fpts_13",9,"rank_13"
"Wil Lutz",2,"ecr_13",17,"fpts_13",1,"rank_13"
"Younghoe Koo",11,"ecr_13",8,"fpts_13",15,"rank_13"
"Zane Gonzalez",7,"ecr_13",1,"fpts_13",31,"rank_13"
"Austin Seibert",11,"ecr_14",11,"fpts_14",11,"rank_14"
"Brett Maher",15,"ecr_14",6,"fpts_14",23,"rank_14"
"Chris Boswell",14,"ecr_14",11,"fpts_14",8,"rank_14"
"Dan Bailey",7,"ecr_14",10,"fpts_14",14,"rank_14"
"Daniel Carlson",22,"ecr_14",3,"fpts_14",31,"rank_14"
"Greg Zuerlein",6,"ecr_14",4,"fpts_14",28,"rank_14"
"Harrison Butker",10,"ecr_14",13,"fpts_14",6,"rank_14"
"Jake Elliott",3,"ecr_14",5,"fpts_14",27,"rank_14"
"Jason Myers",12,"ecr_14",6,"fpts_14",20,"rank_14"
"Joey Slye",17,"ecr_14",10,"fpts_14",12,"rank_14"
"Justin Tucker",2,"ecr_14",6,"fpts_14",22,"rank_14"
"Ka'imi Fairbairn",9,"ecr_14",8,"fpts_14",18,"rank_14"
"Mason Crosby",1,"ecr_14",8,"fpts_14",17,"rank_14"
"Matt Gay",5,"ecr_14",9,"fpts_14",15,"rank_14"
"Michael Badgley",13,"ecr_14",10,"fpts_14",13,"rank_14"
"Robbie Gould",16,"ecr_14",13,"fpts_14",5,"rank_14"
"Ryan Succop",18,"ecr_14",6,"fpts_14",21,"rank_14"
"Sam Ficken",21,"ecr_14",12,"fpts_14",7,"rank_14"
"Wil Lutz",4,"ecr_14",13,"fpts_14",4,"rank_14"
"Younghoe Koo",8,"ecr_14",18,"fpts_14",2,"rank_14"
"Austin Seibert",7,"ecr_15",7,"fpts_15",17,"rank_15"
"Dan Bailey",9,"ecr_15",16,"fpts_15",2,"rank_15"
"Greg Zuerlein",4,"ecr_15",1,"fpts_15",31,"rank_15"
"Harrison Butker",5,"ecr_15",10,"fpts_15",7,"rank_15"
"Jake Elliott",11,"ecr_15",7,"fpts_15",15,"rank_15"
"Jason Myers",8,"ecr_15",6,"fpts_15",19,"rank_15"
"Jason Sanders",18,"ecr_15",9,"fpts_15",9,"rank_15"
"Joey Slye",16,"ecr_15",8,"fpts_15",12,"rank_15"
"Justin Tucker",1,"ecr_15",4,"fpts_15",26,"rank_15"
"Ka'imi Fairbairn",15,"ecr_15",6,"fpts_15",21,"rank_15"
"Mason Crosby",10,"ecr_15",3,"fpts_15",27,"rank_15"
"Matt Gay",6,"ecr_15",9,"fpts_15",11,"rank_15"
"Matt Prater",21,"ecr_15",6,"fpts_15",20,"rank_15"
"Michael Badgley",14,"ecr_15",5,"fpts_15",23,"rank_15"
"Nick Folk",12,"ecr_15",12,"fpts_15",5,"rank_15"
"Robbie Gould",3,"ecr_15",12,"fpts_15",3,"rank_15"
"Wil Lutz",2,"ecr_15",10,"fpts_15",6,"rank_15"
"Younghoe Koo",20,"ecr_15",6,"fpts_15",18,"rank_15"
"Zane Gonzalez",13,"ecr_15",8,"fpts_15",14,"rank_15"
"Brandon McManus",11,"ecr_16",9,"fpts_16",13,"rank_16"
"Chris Boswell",17,"ecr_16",5,"fpts_16",27,"rank_16"
"Dan Bailey",7,"ecr_16",4,"fpts_16",30,"rank_16"
"Greg Zuerlein",22,"ecr_16",9,"fpts_16",11,"rank_16"
"Harrison Butker",4,"ecr_16",10,"fpts_16",6,"rank_16"
"Jake Elliott",12,"ecr_16",5,"fpts_16",22,"rank_16"
"Jason Myers",3,"ecr_16",9,"fpts_16",12,"rank_16"
"Jason Sanders",18,"ecr_16",8,"fpts_16",17,"rank_16"
"Josh Lambo",19,"ecr_16",7,"fpts_16",18,"rank_16"
"Justin Tucker",1,"ecr_16",7,"fpts_16",20,"rank_16"
"Ka'imi Fairbairn",8,"ecr_16",11,"fpts_16",5,"rank_16"
"Kai Forbath",15,"ecr_16",11,"fpts_16",3,"rank_16"
"Mason Crosby",14,"ecr_16",10,"fpts_16",7,"rank_16"
"Matt Gay",9,"ecr_16",11,"fpts_16",4,"rank_16"
"Michael Badgley",10,"ecr_16",5,"fpts_16",26,"rank_16"
"Nick Folk",13,"ecr_16",12,"fpts_16",2,"rank_16"
"Robbie Gould",6,"ecr_16",10,"fpts_16",8,"rank_16"
"Wil Lutz",2,"ecr_16",9,"fpts_16",10,"rank_16"
"Younghoe Koo",5,"ecr_16",6,"fpts_16",21,"rank_16"
"Zane Gonzalez",20,"ecr_16",10,"fpts_16",9,"rank_16"
"Austin Seibert",20,"ecr_17",6,"fpts_17",23,"rank_17"
"Brandon McManus",15,"ecr_17",14,"fpts_17",5,"rank_17"
"Chase McLaughlin",17,"ecr_17",10,"fpts_17",13,"rank_17"
"Chris Boswell",16,"ecr_17",4,"fpts_17",28,"rank_17"
"Dan Bailey",11,"ecr_17",13,"fpts_17",7,"rank_17"
"Greg Joseph",19,"ecr_17",5,"fpts_17",26,"rank_17"
"Greg Zuerlein",8,"ecr_17",8,"fpts_17",17,"rank_17"
"Harrison Butker",2,"ecr_17",8,"fpts_17",19,"rank_17"
"Jake Elliott",9,"ecr_17",12,"fpts_17",9,"rank_17"
"Jason Myers",13,"ecr_17",3,"fpts_17",29,"rank_17"
"Josh Lambo",18,"ecr_17",16,"fpts_17",4,"rank_17"
"Justin Tucker",10,"ecr_17",17,"fpts_17",3,"rank_17"
"Ka'imi Fairbairn",14,"ecr_17",2,"fpts_17",32,"rank_17"
"Kai Forbath",12,"ecr_17",20,"fpts_17",1,"rank_17"
"Mason Crosby",6,"ecr_17",12,"fpts_17",8,"rank_17"
"Matt Gay",5,"ecr_17",2,"fpts_17",31,"rank_17"
"Nick Folk",4,"ecr_17",6,"fpts_17",21,"rank_17"
"Robbie Gould",3,"ecr_17",9,"fpts_17",14,"rank_17"
"Wil Lutz",1,"ecr_17",6,"fpts_17",20,"rank_17"
"Younghoe Koo",7,"ecr_17",18,"fpts_17",2,"rank_17"
